cv_id,candidate_role,cv_text,candidate_skills
1,.NET Developer,participated in intra college cricket competition and various other sports events group dance in college cultural programme education details msc computer science pune maharashtra pune university bsc computer science pune maharashtra pune university hsc semi english pune maharashtra maharashatra board ssc semi english pune maharashtra maharashatra board dot net developer dot net developer skill details asp net c html css sql exprience 6 months javascript exprience less than 1 year months sql server 2008 2012 exprience less than 1 year monthscompany details company description,"sql server, c, css, html, javascript, sql"
2,.NET Developer,technologies asp net mvc 3 0 4 0 5 0 unit testing entity framework 6 0 languages c net js library javascript jquery angular1 5 typescript tools visual studio 2008 2010 2012 2015 visual studio code ide net framework 2 0 3 5 4 0 4 5 databases sql server 2005 2008 2014 2015 source control tools tortoise svn git education details january 2010 b tech kakinada andhra pradesh jntu dot net developer dot net developer the tie bar skill details net exprience 34 months asp exprience 34 months asp net exprience 34 months c exprience 34 months javascript exprience 34 monthscompany details company the tie bar description duration january 2017 to till date responsibility design and coding in a net server side environment specifically utilising the microsoft mvc framework and client side environment using knockout js consuming web api and wcf rest full services designed and coded application components in an agile environment utilizing a test driven development approach created and maintained project tasks and schedules provided programming estimates identified potential problems and recommended alternative solutions worked in close cooperation with project managers and other functional team members to form a team effort in development utilized pair programming approach to ensure high quality code projects title the tiebar environment visual studio 2015 mvc 5 0 c javascript json linq html 5 database sql server 2015 role developer description the tie bar is us based online shopping website it is the one stop destination for luxury menswear with premium dress shirts ties bow ties and more title leave management system environment visual studio 2010 asp net c net javascript jquery database sql server 2008 role developer description a leave management system is a web application having two module one is front end and second is admin module admin user can manage the site content in this application the main functionality of this web application is used for maintaining the employee leave policy in a company title around pune cms environment visual studio 2010 asp net c net javascript jquery database sql server 2008 role developer description around pune is a web application in that there are two modules one is admin module and another is client or front end admin module controls the site date or its cms content management system project the purpose of this site is to show or provide the details of all the spots and tourists places around the pune title country side environment visual studio 2008 asp net c net javascript jquery database sql server 2008 role developer description this is cms content management system website controlling by admin user in that there is one admin module to maintain website content this site is used to provide information about tourist places and provide offers different packages for trips company hamsa hitech pvt ltd description responsibility design and coding in a net server side environment specifically utilising the asp net and c net design and implement systems that use relational databases specifically sql 2008 project title a g johnson environment visual studio 2010 asp net c net javascript jquery database sql server 2008 role developer description a g johnson is a global employment website the main purpose of this application is to recruit employees for their clients in different countries like switzerland norway and sweden and it provide services like organisational development management and leadership support and development legal support title crm for company environment visual studio 2008 asp net 3 0 using c net javascript jquery database sql server 2008 role developer description customer relationship management system is a web application which is maintaining the relation with company we can view the project list client list notification list appointment list conversation list client person list and company person,"relational databases, sql server, agile, api, c, git, html, javascript, jquery, json, programming, sql, testing, typescript"
3,.NET Developer,technical skills web technologies asp net html css jquery languages c c c net mvc 5 database sql server 2005 2008 2016 reporting tools kindo ui telerik functions crystal report platforms visual stadio 2010 2014 education details january 2014 b e satara maharashtra l n b c college of engg satara january 2011 diploma thergaon pune maharashtra m m polytechnic dot net developer skill details net exprience 24 months asp exprience 24 months c exprience 24 months c exprience 6 months crystal report exprience 6 months html exprience less than 1 year months css exprience less than 1 year months entityframewok jquery javascript exprience less than 1 year months mvc exprience 6 months sql exprience 24 monthscompany details company corecode technology description worked on web application using asp c mvc as well as sql for database and also bootstrap css html for designing created reports using kindo and telerik controls company inetsoft solution description created web application using asp and c and also used sql for database,"sql server, bootstrap, c, css, html, javascript, jquery, reporting, sql"
4,.NET Developer,technical skills languages c asp net mvc html css javascript angularjs primary skill entity framework tools used sql server 14 visual studio 13 project details 1 project name transport management system role dot net developer platform used mvc angularjs sql server description this project is about the transport management system this project is used to keeps all the record of the vehicle customer employee reduce costs with centralized planning and execution of logistics activities vehicle owner can add his vehicle for rent of the specific day into the application from their location admin can easily access the data of vehicle customer employee responsibilities used 3 tier architecture for presentation layer the business and data access layers and were coded using c as per user requirements make changes in the project with discussing the group for new requirement work on customer and vehicle model 2 project name crm role dot net developer platform used mvc sql server description it s kind of crm application where a training institute can easily track their student data where we have different user store or access and utilise to manage this data with application any user can easily fill the information of the leads comes in that institute also who joined or convert that leads as a student in that institute all information can store or easily manage this application also the good leads or the student who didn t join but their records are store in this application so this application help institute to fetch all the contacts information or those leads or student who didn t join that time we can later contact to those leads in future also with the application we get to know each and every leads or student who joined responsibilities used 3 tier architecture for presentation layer the business and data access layers and were coded using c as per user requirements make changes in the project with discussing the group for new requirement work on enquiry model key strength adaptability hard worker self motivated positive attitude education details january 2008 hsc maharashtra board january 2006 ssc maharashtra board dot net developer dot net developer glyphisoft technology skill details asp exprience 14 months dot exprience 14 months model view controller exprience 14 months model view controller exprience 14 months mvc exprience 14 monthscompany details company glyphisoft technology description having around 1 1 years of experience in development in asp net mvc currently associated with glyphisoft technology solution as net developer,"sql server, c, css, html, javascript, sql"
5,.NET Developer,technical skills programming languages c net web technologies asp net mvc web api angular jquery html5 css3 bootstrap database sql server 2014 ide visual studio 2015 visual studio code office packages ms office access word excel education details january 2016 b sc computer science solapur maharashtra solapur university dot net developer dot net developer navshar global software skill details net exprience 15 months asp exprience 15 months asp net exprience 15 months bootstrap exprience 15 months jquery exprience 15 months asp net mvc exprience less than 1 year months angularjs exprience less than 1 year months c exprience less than 1 year months entity framework exprience less than 1 year monthscompany details company navshar global software description 017 projects worked on 1 navnirman tech festival navnirman tech festival is a technical event management application that is used to scheduling and organizing event technologies asp net mvc sql server entity framework ajax jquery role involved everywhere 2 like security the like security web application provides trusted services and man power as well labour management technologies asp net mvc sql server bootstrap ajax jquery role involved everywhere 3 performance review in house project this is an in house web application which is used to fill the review for particular employee by other employees who worked with him this application is very useful to take decision in appraisal of employee all the submitted review can be downloaded in pdf format as per selection technologies asp net mvc entity framework sql server ajax jquery role involved everywhere company none description none,"sql server, angular, api, bootstrap, c, css3, excel, html5, jquery, programming, sql, word"
6,.NET Developer,technical skills category skills language c c oop dot net technologies asp net mvc ado net entity framework linq web technologies html css browser scripting javascript jquery ajax json web browser internet explorer 8 0 mozilla firefox10 front end framework bootstrap kendo ui database sql server 2012 development tools visual studio 2013 operating systems ms window 2007 project details projects worked on 1 project name politician website role trainee project description i developed politician website in this website there is home page quick facts category biography gallery and contactus page it is a totally dynamic website environment operating system windows 7 development tools visual studio 2013 database server sql server 2012 technology net framework 4 5 asp net mvc5 presentation layer html css jquery bootstrap role and responsibilities understanding requirements coding and unit testing 2 project name coaching management system cms project description this software is helps to manage institute student teacher courses batches fees attendance and marks provide easy reports like outstanding fees marks and attendance etc this software is specially designed for coaching institute environment operating system windows 7 database server sql server 2012 technology net framework 4 5 asp net mvc5 presentation layer html css javascript jquery bootstrap features project includes the feature of testing type and the activity on the project activities project includes the online management and test process role and responsibilities worked in development of back end like data collections database schema designing and create database dictionary made database constraints i was also worked on front end designing like screen generations form designing applying client side validation srs documentation and development 3 project name hospital management system hms project description hospital management system is powerful flexible and easy to use and designed and developed to deliver real conceivable benefits to hospitals and clinics and more importantly it is backed by reliable and dependable hospital management system is designed for multispecialty hospitals to cover a wide range of hospital administration and management processes it is an integrated end to end hospital management system that provides relevant information across the hospital to support effective decision making for patient care hospital administration and critical financial accounting in a seamless flow environment presentation layer html css javascript jquery kendo ui business layer net framework 4 5 asp net mvc5 database layer sql server 2012 operating system windows 7 features project includes the feature of testing type and the activity on the project activities project includes the online management and test process role and responsibilities worked in development of back end like data collections database schema designing and create database dictionary made database constraints i was also worked on front end designing like screen generations form designing applying client side validation srs documentation and development 4 project name ticket booking software bess project description online ticket booking system is a web based application you can directly book the ticket by this application this application is implemented for bus tour and travel agency environment presentation layer html css javascript jquery kendoui business layer net framework 4 5 asp net mvc5 database layer sql server 2012 operating system windows 7 features project includes the feature of testing type and the activity on the project activities project includes the online management and test process role and responsibilities worked in development of back end like data collections database schema designing and create database dictionary made database constraints i was also worked on front end designing like screen generations form designing applying client side validation srs documentation and development 5 project name school management system sms project description school management system is complete school management software designed to automate a school s diverse operations from classes exams to school events calendar this school software has a powerful online community to bring parents teachers and student on a common interactive platform it is paperless office automation solution for today s modern schools the school management system provides the facility to carry out all day to day activities of the school making them fast easy efficient and accurate environment presentation layer html css javascript jquery business layer net framework 4 5 asp net mvc5 database layer sql server 2012 operating system windows 7 features project includes the feature of testing type and the activity on the project activities project includes the online management and test process role and responsibilities worked in development of back end like data collections database schema designing and create database dictionary made database constraints i was also worked on front end designing like screen generations form designing applying client side validation srs documentation and development 6 project name credit monitoring application using the credit monitoring application rms uhs credit controllers and cmus are able to monitor and manage the following items online update the regularization dates and add their comments as well as generate reports overdrafts past dues sblc fg expiry mortgage expiry cheques returns failed direct debit nbf vs cb classification relationship manager the relationship manager can only update the regularization date and the rm comments all other fields will be disabled greyed out for the relationship manager on updating the regularization date and the rm comments a successful message will be displayed to the rm and then the rm will be navigated to the dashboard screen again credit controller ccu the credit controller can only update the ccu comments if and only if the regularization date and rm comments are present otherwise the ccu comments field will be disabled greyed out all other fields will also be disabled greyed out for the ccu on updating the ccu comments a successful message will be displayed to the ccu and then the ccu will be navigated to the dashboard screen cmu the cmu can only update the cmu comments if and only if the ccu comments are present otherwise the cmu comments field should be disabled greyed out all other fields will be disabled greyed out for the cmu on updating the cmu comments a successful message will be displayed to the cmu and then the cmu will be navigated to the dashboard screen uh the uh can only update the uh comments all other fields will be disabled greyed out for the uh on updating the uh comments a successful message will be displayed to the uh and then the uh will be navigated to the dashboard screen environment presentation layer html css javascript jquery business layer net framework 4 5 asp net mvc5 database layer sql server 2012 operating system windows 7 role and responsibilities understanding requirements coding and unit testing srs documentation and development education details mcm pune maharashtra pune university b sc computer science indore madhya pradesh davv university designation dot net developer dot net developer skill details entity framework exprience less than 1 year months c exprience less than 1 year months asp net exprience less than 1 year months javascript exprience less than 1 year months oop exprience less than 1 year months asp net mvc exprience less than 1 year months css exprience less than 1 year months ajax exprience less than 1 year months sql exprience less than 1 year months jquery exprience less than 1 year months html exprience less than 1 year months json exprience less than 1 year monthscompany details company cognizant technology solutions description i am working as a dot net developer company ni lux software ltd description i was worked as a dot net developer company ni lux software ltd description,"sql server, bootstrap, c, classification, css, dashboard, documentation, html, javascript, jquery, json, scripting, sql, testing"
7,Automation Tester,education details b tech electronics and instrumentation engineering jaunpur uttar pradesh vbs purvanchal university automation tester automation tester tech mahindra skill details company details company tech mahindra description mumbai may 2018 to present project contribution tech mahindra project title payment gateway jio money role automation tester responsibility analyzing the manual test cases to create automation scripts working on redwood tool for automation maintained regression pack as per the project requirement performed api testing created automation scripts for api testing enhancing framework to support cross functionality testing execute test cases and evaluate test results for both manual and automated testing maintaining the scripts as per the requirement adding new automated tests to improve automated test coverage for both functional and regression performed automation testing analyzing test results and report defect into the bug tracking system and drive issues to resolution preparation of test data with different test conditions to ensure coverage of business rules performed sanity ad hoc and regression testing participated in defect triage meetings with developers to validate the severity of the bug and responsible for tracking of the bug life cycle worked with development team to ensure testing issues are resolved project description jio money jio payment gateway provides the facility to merchants and users to enable to pay through the jio money features include purchase bill payment load money short cash purchase pay to merchant and pay to user etc inscripts project title cometchat role automation tester responsibility created automation framework with bug report using page object and data driven framework with automated email test scripts handling qa tickets coordinate with the development team project description cometchat is the chat solution for your site app which will help you grow your customer base exponentially drastically increase the time spent by users the cometchat has several useful features like one on one chat group chat audio video call screen sharing games real time chat translation mobile apps and desktop messenger project title web tracker role sr software tester responsibility creation test scenarios test script and test case execution of test case ad hoc manual testing regression testing automation testing test scripts using tools such as selenium webdriver 2 0 project description accomplishment web tracker aims to provide time sheet facility to its customers release contains the following features which are related to employee time tracking task assignments tracker submission reminders approvals its notifications hayaan infotech project title real estate agent website role sr software tester responsibility creation test scenarios and test case execution of test case smoke testing black box testing ad hoc manual testing regression testing project description this project has web page graphical html representation of a neighborhood made up of different types of houses and apartments there are several sales people around the country who are all responsible for selling the houses and apartments through web site this web site help user to purchase or request for any estate property project title e commerce website role software tester responsibility creation test scenarios and test case execution of test case ad hoc manual testing smoke testing black box testing regression testing project description this project includes order processing invoice generated and printing packaging slip order payment return material authorization label sheet printing the order processing of that application is very big there are 3 main entities which are involved in the order processing customer sales person and admin project title enquiry to invoice system role software tester responsibility creation test scenarios and test case execution of test case smoke testing black box testing ad hoc manual testing regression testing project description this application is browser based application to reduce investment in hardware and software the proposed system contains following module which offers database management and reporting of various activity of company this application comprise of following module inquiry and estimation quotation negotiation purchase order system delivery system mis reports company inscripts india pvt ltd description company haayan infotech pvt ltd description,"automation testing, database management, manual testing, regression testing, selenium webdriver, api, html, regression, reporting, selenium, testing"
8,Automation Tester,skills agile methodology scrum kanban extreme programming xp test driven development tdd and feature driven development fdd domain industrial automation retail banking insurance health care automation framework modular data driven bpt hybrid test automation tool hp uft taf load runner selenium rational robot dcmtk sikuli languages vb script c python shell script bug tracking tool bugzilla jira hp quality control ap test clear quest version management clear case win cvs svn database oracle sql server mysql network protocols tcp ip http https vpn ftp ldap healthcare dicom pacs hl7 image archiving image reconstruction rockwell automation logix designer factory talk rslinx classic control flash compare tool i o modules and profiles education details bachelor of science computer science mumbai maharashtra mumbai university qa automation lead qa automation lead skill details c exprience 63 months python exprience 109 months uft exprience 85 months selenium exprience 85 months sql exprience 69 monthscompany details company leading industrial automation description responsibilities test rockwell automation embedded systems such as logix designer factory talk rslinx classic control flash compare tool i o modules and profiles coordinate with onsite and offshore qa leads to design and develop test strategy and test plan document test plan and test cases base on product requirement document and functional specification discussed and explained the requirement to qa team work in scrum base agile methodology and test driven development environment with frequent changing requirements and lots of challenges document and published program increment objectives program increment planning report feature epics backlog and stories conduct and participated in program increment planning backlog grooming sprint planning daily stand ups sprint review and retrospective perform automation testing tasks such as design create maintain execute and peer review test scripts using test automation framework taf develop and execute system integration and gui integration test using c interact with business analysts and software developers for bug review and participated in qa meetings work closely with development and engineering department to ensure proper resolution of bugs proactively came up with innovative methods to improve software quality test coverage efficiency and regression coverage created and maintained testing documents such as high level requirement test strategy report test plan test cases test execution results bug report quality metrics traceability matrix and testing summary reports environment logix designer factory talk rslinx classic controlflash comparetool i o modules profiles test automation framework taf c python selenium clear case clear quest uft collaborative lifecycle management and version one company ge healthcare description responsibilities validated ge ct scanners based on fda compliances and regulations interacted with clinical experts business analysts and development architect for creation of test strategy and test plan coordinated with the offshore qa and onsite qa team to work on design and develop of test strategies and requirement traceability matrix designed created and executed manual test cases base on product requirement documents increased productivity by initiating use of automation tools like dicom and qtp trained and guided ge team on automation test creation and execution using qtp performed testing types such as functional integration performance and regression and provide test reports to management involved in release support test bed creation testing throughout release process environment agile test driven development tdd dicom hl7 image reconstruction windows linux sql c python qtp html xml qtp vbscripts and qc company patni ge healthcare pacs description responsibilities validated ge pacs application and tested web application defined for administration authentication and archiving of dicom images involved in the creation of automation framework by using hybrid and bpt approach responsible for creation of test bed and golden data using dcmtk prepared the test scenarios test plan test cases and automation scripts for integration system and end to end testing on all applications designed and developed user defined and generic functions with well versed vb scripting descriptive programming in scripting dynamic objects and reusable actions in defining scenario flows in uft qtp reviewed the qtp scripts developed by the team members supported the qa sit and regression testing team for environmental issues and interact with other downstream environment system team for the clarifications environment agile test driven development tdd ge pacs dicom hl7 image reconstruction image construction windows linux sql c python selenium qtp html xml qtp javascript vbscripts and qc company hdfc bank limited description responsibilities reviewed business requirements design documents and prepared test cases for assigned project releases performed testing types such as api functional integration system performance regression security and network provide test reports to management involved in integration testing for release of new functionality testing critical bug s fixes and co ordinate with developer in fixing these critical bugs involved in backend database testing in oracle and microsoft sql involved in release support test bed setup testing throughout release process automation of test flow s using automated tools qtp 10 environment windows linux sql c python qtp html xml qtp javascript vbscripts and qc company vistaar systems limited description responsibilities referred business requirements documents use case documents and design documents provided by client and developer for creation of manual and automation test cases involved in analysis design creation execution and debugging of automation scripts using automation tools like rational robot qtp and shell scripting testing critical bug s fixes and co ordinate with developer in fixing these critical bugs involved in installation of build maintaining test bed smoke and sanitary testing regression testing performance testing and database testing using rational robot qtp and shell scripting environment windows linux sql rational robot v2002 and qtp v 9 2,"agile methodology, automation testing, performance testing, quality control, regression testing, shell scripting, sql server, test automation, agile, api, c, debugging, html, javascript, jira, kanban, linux, metrics, mysql, oracle, programming, python, regression, scripting, scrum, selenium, shell, sql, testing, vpn, xml"
9,Automation Tester,excellent grasping power in learning new concepts and technology highly motivated team player with strong work ethics committed to hard work ability to work and co ordinate in a team effectively enthusiastic self starter and team player quick and independent learner education details january 2014 bachelor of technology information technology branch bput university january 2010 diploma engineering brahmapur orissa u c p engineering school software testing automation engineer software testing automation engineer tech mahindra skill details company details company tech mahindra description india duration oct 2017 till date project description bt group plc trading as bt and formerly british telecom is a british multinational telecommunications holding company with head offices in london united kingdom i worked for air logistics program under the banner of british telecom this project handles all the web applications to carry out the whole logistics operation over united kingdom through various airlines roles responsibilities design and develop framework for the test scenarios and test cases developing automation test scripts on the existing application executing test cases for every new release involved in running test cases and logging defects through the hpqc tool involved in formulating test summary report conduct internal test case peer reviews participated in daily scrum meetings participated in weekly status meetings with the team developers to discuss open issues and communicating with onsite team company tech mahindra pvt ltd pune tech mahindra description is an indian multinational company with around 115 000 employees spread across 90 countries globally total experience 2 years 7 months organization designation duration company tech mahindra description project description at t inc is an american multinational conglomerate holding company headquartered at whitacre tower in downtown dallas texas during my serving as software engineer at at t i have worked for csi cam common service interface team which is responsible for running of at t s centralised solution hub web application called myatt com roles responsibilities design develop and maintaing automation test scripts and test cases using selenium webdriver and several desktop window automating tool such as sikuli and autoit executing test cases and check the working functionality of the existing application involved in tracking manging test life cycle and logging defects using jira and hpqc alm involved in formulating test summary report conduct internal test case peer reviews participated in daily scrum meetings participated in weekly status meetings with the team developers to discuss open issues and communicating with onsite team company tech mahindra pvt ltd pune tech mahindra description till date,"selenium webdriver, c, jira, scrum, selenium, testing"
10,Automation Tester,technical skills summary i have completed corporate training in manual and automation testing at source code technology pune manual and automation testing selenium ide testng selenium grid jenkins apache poi good knowledge in sdlc excellent understanding of white box testing and black box testing good knowledge in functional testing integration testing and system testing good exposure in writing functional and integration scenarios good understanding of writing of test cases including test case design technique good understanding build and release good knowledge on ad hoc and smoke testing excellent understanding of usability reliability and exploratory testing excellent knowledge of globalization and compatibility testing excellent understand of stlc good knowledge of regression and retesting excellent knowledge on defect tracking and defect life cycle good knowledge on test plan and traceability matrix internship project project name resume extractor duration 6 months role manual and automation testing environment jdbc servlets jsp technologies web based application ms access2007 the project involved development of a web application resume extractor provides the technology to analyze mass volume of data to detect resume in data covered which company have into valuable information this project is company site s based on recruitment process strengths able to work in a team system and operational analysis good communication skills active learning and critical thinking good interpersonal skills willing to take challenges and more responsibilities ability to learn new technologies with minimal time period education details january 2015 bcs computer science mgm s college mca pune maharashtra computer science fromjspm college hsc nanded maharashtra maharashtra state board ssc nanded maharashtra maharashtra state board software testing software testing skill details apache exprience 6 months black box exprience 6 months black box testing exprience 6 months functional testing exprience 6 months integration exprience 6 monthscompany details company tech mahindra description software testing in manual and automation company description software test engineer,"automation testing, apache, jenkins, regression, selenium, testing, testng"
