job_id,industry_domain,job_title,job_desc_text,required_skills,soft_skills
3859,Artificial Intelligence, Collaborative Manipulation Roboticist,"location: schlumberger-doll research, cambridge, ma, usa at schlumberger-doll research (sdr) in cambridge, ma, the robotics department is evaluating and developing cutting-edge technology for the automation of unstructured oil and gas applications. we are looking for talented phd and masters level roboticists specializing in collaborative manipulation to join a multidisciplinary team working on stimulating problems that will lead to disruptive differentiation in functions spanning manufacturing, maintenance and field operations. the successful candidate will closely collaborate with experienced sdr team members and schlumberger product development entities to design, develop, simulate and test algorithms and software prototypes against harsh oilfield environments. taking advantage of the vibrant boston robotic cluster, he/she will participate in strategic engagements with academic research institutions and worldwide industry partners. qualifications phd or masters degree with 3 years of industry experience with emphasis on human-robot collaborative manipulation deep theoretical foundation in relevant artificial intelligence disciplines working knowledge of robot operating system (ros) framework demonstrated proficiency with relevant programming languages, such as python and c++, in a linux environment preferred experience motion planning and inverse kinematics task planning under uncertainty supervised, reinforcement/demonstration learning excellent problem-solving, organizational and communication skills candidates must have the legal right to work in us schlumberger is the worlds leading supplier of technology, integrated project management and information solutions to customers working in the oil and gas industry worldwide. employing more than 105,000 people representing over 140 nationalities and working in approximately 85 countries, schlumberger provides the industrys widest range of products and services from exploration through production. schlumberger has always invested significant time and money on re; as a long-term strategy to support and grow its technology leadership. schlumberger invests more each year in re; than all other oilfield services companies combined. schlumberger is an equal employment opportunity employer. qualified applicants are considered without regard to race, color, religion, sex, national origin, age, disability, status as a protected veteran or other characteristics protected by law. schlumberger is a vevraa federal contractor - priority referral protected veterans requested.","collaborative manipulation, artificial intelligence, robot operating system (ros), programming (python, c++), motion planning, inverse kinematics, task planning under uncertainty, supervised learning, reinforcement/demonstration learning","problem-solving, organizational skills, communication skills"
3764,Artificial Intelligence,Software Engineer - Innovation Lab,"about denso denso is one of the largest global automotive suppliers of advanced technology, systems and components in the areas of thermal, powertrain control, electronics and information and safety. from automated driving to hybrid and electric vehicle components, were crafting the core technologies of modern mobility. we draw on the strengths of individual inventors who are joining together to become an unstoppable force for global good. with our north american headquarters located in michigan, denso employs more than 23,000 people at 28 consolidated subsidiaries and 4 affiliates across the north american region. worldwide, the company has more than 200 subsidiaries and affiliates in 38 countries and regions and employs more than 150,000 people. consolidated global sales for the fiscal year ending march 31, 2017, totaled us40.4 billion. as a software engineer you will be part of a small r d innovation team developing products and services utilizing future technology. we are looking for a candidate to work with us on innovative products and services inside and outside the vehicle spectrum. candidate must be creative and collaborative. if youre passionate about building technologies that are going to make a difference in the future, this could be the right job for you what youll be doing: develop software for a variety of automotive applications, including infotainment systems, ar, heads-up display and haptic devices. develop optimized software to run on variety of platforms and environments including mobile, tablet and laptops. develop innovative solutions for challenging problems with scalable, production quality software. work with internal cross functional teams to develop a working model or poc (proof of concept). work with customers to build integrations and troubleshoot issues. learn constantly and dive into new areas with unfamiliar technologies. denso will not provide any us immigration sponsorship for this position bs in computer science or computer engineering. 2-4 years of experience as a software engineer. strong development experience in c, c , java. developing systems applications on linux/android. comfortable in python language. experience or knowledge in artificial intelligence ability to take ideas from concept to prototype. ability to vet technical requirements from cross-functional rd groups. ability to work in cross-functional teams with a strong sense of self-direction. pro-active attitude.","software development, infotainment systems, augmented reality (ar), heads-up display (hud), haptic devices, platform optimization, cross-functional collaboration, proof of concept (poc), system application development, linux/android development, programming languages: c, c++, java, python, artificial intelligence (ai), prototype development, technical requirement analysis","creativity, collaboration, problem-solving, adaptability, proactive attitude, self-direction"
3597,Artificial Intelligence,"Director, Standards & Strategy","as a director of strategy strategy at xperi, you will participate in industry standardization activities with 2 strategic goals: maintain a continuous awareness of industry trends in the audio/video content creation and distribution spaces, including ar and vr, and other emerging technology areas such as imaging, machine learning and artificial intelligence consistent with 1, establish dts technologies in the technical standards and industry consortia publications that are impactful to xperi business overall in furtherance of these goals, the successful candidate will participate in regular internal meetings with groups around the company to discuss xperi standards and consortia participation, in light of industry trends and developments, to determine appropriate levels of participation, specific goals and schedules, weighing in available resources, commitments and company priorities. in concert with these regular meetings, the successful candidate will participate in assigned standards and industry consortia activities. such participation will include travel, which may be substantial, to various f2f meetings and events. primary work will involve authoring and reviewing technical specifications in the broad range of areas listed above. qualifications skills undergraduate degree in engineering or science. post graduate degree a definite plus. technical competence in one or more of the following areas: audio/video codec, media streaming and storage formats, ar/vr, machine learning, artificial intelligence experience participating in international standards, consortia, or industry fora experience working in an international and distributed environment technical skills necessary to author and develop technical specifications strong interpersonal skills a must excellent communication skills, both written and oral computer skills: outlook, word, excel and powerpoint required willing to travel frequently and regularly to meetings in domestic and international locations able to work in a team environment, and independently","audio/video codec, media streaming and storage formats, ar/vr, machine learning, artificial intelligence, technical specifications authoring and reviewing","participation in international standards, consortia, or industry fora, working in an international and distributed environment, interpersonal skills, communication skills, teamwork, independence"
3746,Artificial Intelligence,Business Strategy Consultant,"if you have a strategic mindset and expertise in the latest mobility technological trends, then look no further than p3 as a global consulting, management and engineering services company, we develop and implement innovative solutions to todays complex technology challenges and industry changes that help our clients succeed at every stage. as the business strategy consultant, you will have the opportunity to work with leading companies in the automotive industry to help drive business initiatives. as a key driver for developing strategy for leading automotive companies, you will be responsible for bringing transparency and insights to complex technology challenges. this will include working on a broad range of exciting technologies such as autonomous driving, connectivity, cybersecurity, vehicle electrification and artificial intelligence. a day in the life: consult with decision makers and leaders at major mobility companies and support the development of strategies regarding emerging technologies and products invest time and effort to become a thought leader in a broad array of technologies and their implications on the mobility industry moderate high level decision making workshops while providing technical and strategic input to guide the discussion develop and use innovative frameworks and methodologies for solving complex technology planning challenges support the strategic plan, business development and overall growth of projects, programs and initiatives be open to challenges that involve new and unfamiliar technologies, complex and ambiguous situations, tight timelines and high client expectations. build and maintain strong relationships with stakeholders while expanding your network to develop new opportunities what you have: bachelors or masters degree in mechanical engineering, electrical engineering, mechatronics with courses in business economics, engineering management, finance or related fields of study drive, confidence and competence to manage critical work streams and responsibilities independently and to exceed expectations of clients and co-workers 2+ years of experience working in a strategic role focusing on automotive software, electronics, telematics, infotainment, connected vehicle and electrification a consulting mindset with an exposure to a wide variety of technology topics ability to dive deep into a technology domain to understand basics and fundamentals but also big picture implications such as cost, differentiators, risks and improvement opportunities. significant experience working and communicating directly with upper level management including c-level executives willingness to travel up to 50 of the time german language skills are a plus","mobility technological trends expertise, business strategy development, autonomous driving, connectivity, cybersecurity, vehicle electrification, artificial intelligence, technology planning frameworks and methodologies, automotive software knowledge, electronics knowledge, telematics, infotainment, connected vehicles","strategic mindset, thought leadership, communication skills, relationship building, problem-solving, time management, client management, teamwork, adaptability, confidence"
3872,Artificial Intelligence, Regular Full-Time,"mission who we are founded and continuously led by inventor and entrepreneur tony aquila, solera is a global leader in digital technologies that connect and secure lifes most important assets: our cars, homes and identities. since its inception in 2005 as a garage-based startup, solera has grown aggressively with over 50 acquisitions across its platforms the companys current product solutions include audatex, autodata, autopoint, cap/hpi, colimbra, digidentity, enservio, explore data, hollander, identifix, inpart, lynx and titletec, as well as the companys flagship digital garage application. today, solera processes over 300 million transactions annually for approximately 235,000 partners and customers in over 80 countries. unified by a strong culture that values uncommon entrepreneurial thinking and continuous do-it-different innovation, soleras global workforce of 6,700+ associates come from diverse forward-thinking industries that include automotive technology, artificial intelligence, software development, data sciences, cybersecurity, cognitive design, and digital identity protection. for more information, please visit solera.com. the solera way soleras uncommon culture is based on three simple principles: think 80/20 (focus), act 30/30 (efficiency), and live 90/10 (accountability). we define our mindset using our 3hs: humility, a hunger to succeed, and a desire to hunt for opportunities to win. we train our volunteers to engage with each other modulating between their intellect (iq) and emotional intelligence (eq) using our 3fs: facts, finesse, and force. solera has become a global technology leader that is constantly growing in the double digits. the principles, drills, and values associated with the solera way have been fundamental to soleras success and our ability to grow, continuously change, and innovate. are you uncommon were on the hunt for an experienced software quality analyst who ranks in the top quartile among their peers. someone who has a highly competitive and entrepreneurial mindset that is wired with a team-first attitude, has no problem rolling up their sleeves to execute their missions, and can modulate between leading and following as needed. you will serve as the software quality analyst. position 80s what youll be doing at solera, we believe in providing clarity and focus to what are our volunteers are responsible for their mission. the 80s, as we call them at solera, are the employees priorities associated with their role or mission. the mission 80s for this role, are: understand the business flows, design test strategies, specifications and test plans through user stories. use bug tracking tools to report bugs (jira if possible), analyses the test results and report them to scrum roles. partner with automation team and adhere to automation principles and drive automation for the assigned product. additional responsibilities of the role include: raise an alert when an important issue is likely to put in jeopardy the whole project work closely with quality assurance roles and other departments to ensure quality products with clear project deliverables and timelines, and to ensure timely completion of deliverables. participate in a small, experienced, energetic team on a rapid, agile delivery schedule. design test cases and test scenarios to ensure both new and previous features execute test cases to ensure business scenario be hands on in writing, executing and monitoring automated tests build tools to support development and business functions participate in new project development to facilitate automation in conjunction with development qualifications are you qualified 1-3 years of experience in qa role. strong technical and troubleshooting expertise and mind set. familiarity with at least one programming language and can write automation. familiarity with agile software development methodologies strong software testers mindset, good understanding of the software development lifecycle must be able to finish tasks with minimum supervision strong written and verbal communication skills including technical writing skill. our space we believe that offices should be destinations where people want to be places where people want to work, play and, collaborate. that is why we spend a lot of time on enhancing our workspaces. soleras work environments are intersections of the old and the new of the past, present, and future. they are spaces designed to stimulate creative thinking, innovation, and cross- functional collaboration. we also embrace wellness. whether it is our on-site or off-site workout centers, nutritional meals and beverages, or endless snacks for focus and energy. this wellness plan is our commitment to healthy living, which spans across our office environments.","test planning, bug tracking tools, automation principles, writing test cases, troubleshooting, programming language, agile software development, software development lifecycle, automation writing","team player, entrepreneurial mindset, problem-solving, communication skills, accountability, adaptability, proactive mindset"
3565,Artificial Intelligence," Vice President, Advanced Research","sets the vision and direction for the design of new digital product research that maintain twdcs reputation for performance and extraordinary commitment to quality. partners with advanced technology leaders companywide to develop integrated products, solutions, and advancements across the content development and delivery value chain. uses visionary skills to inspire advanced research team to develop and deliver creative solutions in the face of an ever-evolving digital landscape. leads resource allocation decisions for digital product development within the advanced research group partners with senior technology leadership to transition projects out of rd; and into production deployment manages company-wide rd; portfolio of existing products through the creation of a framework for existing products and new product development through an open innovation platform. deep understanding of ott video, virtual/augmented reality, voice assistants/navigation, wearable devices, iot, artificial intelligence, and machine vision 15+ years of demonstrated experience managing large, complex development projects from inception through completion. experienced in agile and project management and continuous development proven ability to coach and lead a team that executes consistently, rapidly, and effectively. experience identifying, developing, and implementing tools and processes to empower teams and collaboration bamtech media is a place for the creative and the bold. were seeking talent across disciplines to join our team. whether new york city, san francisco, manchester or amsterdam we provide opportunities to elevate your career and transform an industry bamtech is a leading technology services and video streaming company owned by the walt disney company, mlbam, and the national hockey league. our proprietary technology provides direct-to-consumer video solutions, especially for live events with high viewership, offering viewers high-quality visuals any time and on any device. reporting to the evp cto, disney streaming services, the vice president, advanced research, will advance how consumers interact with digital media through the use of innovative technology. positioned at the confluence of streaming video, interactivity, big data, and traditional storytelling, this leader will create a sustainable digital advantage through the development of technologies in ott video, virtual/augmented reality, voice assistants/navigation, wearable devices, iot, artificial intelligence, and machine vision. 583097","digital product research, advanced technology integration, ott video, virtual/augmented reality, voice assistants/navigation, wearable devices, iot, artificial intelligence, machine vision, agile project management","visionary leadership, resource allocation, team coaching, collaboration, innovation"
3819,Artificial Intelligence, Analytics Engineer,"as an analytics engineer, you will work on implementing lattices ai platform for its customers. your specific role is to analyze and transform raw customer data into summarized and aggregated data sets suitable for predictive modeling and machine learning. the best candidates thrive in a fast-paced environment and frame problems constructively to deliver reliable, transparent, and repeatable solutions. you fluently explain complex ideas to colleagues and customers. responsibilities execute data analysis, etl, and data mining to support customer deployments configure enterprise analytics platform and tools work closely with customer delivery teams with mixed backgrounds (business sales, mathematics predictive analytics, database data management) solve problems arising from dynamic data and changing customer requirements qualifications bs degree data analytics, information science, operations research, economics or a scientific, mathematical, or technical discipline such as physics, math, biological sciences, or engineering with relevant intern experience demonstrated ability to learn and master new technologies experience transforming data and programming repeatable etl workflows using sql experience delivering business insights from data using pivot tables, advanced excel models, or business intelligence tools such as tableau or power bi knowledge of aws tools and python is a plus knowledge of analytics tools such as r is a plus experience working collaboratively on a team with aggressive deadlines strong project and time management, as well as written and proactive communications skills about lattice engines lattice is the global leader in delivering artificial intelligence (ai) applications for marketing and sales. our software is used by over a hundred leading firms and many fortune 500 companies including dell, emc, thompson reuters, paypal, staples, and amazon. backed by sequoia capital and new enterprise associates, lattice has a proven leadership team with backgrounds from companies such as mckinsey, bain, bcg, accenture, oracle, siebel, salesforce.com, and eloqua.","data analysis, etl, data mining, enterprise analytics platform configuration, sql, pivot tables, advanced excel models, business intelligence tools (tableau, power bi), aws tools, python, r","problem-solving, communication, collaboration, project and time management, written and proactive communications skills"
3828,Artificial Intelligence,"Director, Informatics","the opportunity leveraging our industry leading clinical reference and content resources, elsevier clinical solutions is building decision support and clinical pathway solutions to improve clinical decision making and reduce variability in care. we are seeking a senior director of health informatics to play a key role in building and delivering clinical decision support solutions integrated in provider workflows. key responsibilities deliver informatics leadership to health informatics teams and other product teams within clinical solutions, including advanced decision support and clinical pathways. participate in development and evaluation of advanced clinical decision support solutions, engaging with clinicians and allied health professionals to provide real-time market feedback. engage customers and users to inform the product development lifecycle, with a focus on understanding and translating clinical workflows. collaborate with hit and ehr partners including to optimize delivery of elsevier solutions including cds, order sets, and care plans. support identification and sourcing of cds, guideline, and pathways evidence. provide guidance to content teams by serving as a clinical informatics expert iand advising on knowledge management best practices. participate in and lead a broad range of informatics initiatives across elsevier including artificial intelligence, nlp, analytics, and clinical research. serve as a subject matter expert on clinical informatics trends and best practices, educating internal and external customers on emerging trends, standards, and regulations. elsevier is a global information analytics business that helps institutions and professionals progress science, advance healthcare and improve performance for the benefit of humanity. we help researchers make new discoveries, collaborate with their colleagues, and give them the knowledge they need to find funding. we help governments and universities evaluate and improve their research strategies. we help doctors save lives, providing insight for physicians to find the right clinical answers, and we support nurses and other healthcare professionals throughout their careers. elsevier provides digital solutions and tools in the areas of strategic research management, rd performance, clinical decision support, and professional education; including sciencedirect , scopus , scival , clinicalkey and sherpath . elsevier publishes over 2,500 digitized journals, including the lancet and cell , more than 35,000 e-book titles and many iconic reference works, including grays anatomy. elsevier is part of relx group, a global provider of information and analytics for professionals and business customers across industries. elsevier employs over 7,000 people in more than 70 offices worldwide. we are an employer of choice, attracting and developing talented and creative people who thrive in a challenging and fast-paced environment. we offer an excellent compensation and benefits package as well as a real opportunity for career growth in a growing organization. elsevier is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. if a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodationsrelx.com . professional experience and qualifications passion and enthusiasm for improvement in the quality and cost efficiency of patient care across the u.s. and globally 2-5 years of experience in informatics and healthcare information technology.. extensive experience with electronic health records, decision support, quality measurement, and analytics. advanced knowledge of, and experience with established and emerging standards including medical terminologies and taxonomies such as snomed-ct, icd-9/icd-10, loinc, rxnorm, umls, cpt, ndc, hl-7 fhir, cds hooks, etc.. familiar with authoring clinical content/machine interpretable clinical logic for clinical decision support and quality measures. analytics experience with structured clinical data and information retrieval from unstructured clinical data. ability to work effectively in a collaborative and diverse team environment across elsevier clinical solutions while being personally accountable for individual and team results. demonstrated extensive experience with one or more of the major electronic health records systems. expertise in the following areas the following: order sets, care plans, reference solutions, clinical pathways, intelligent decision support tools, precision medicine, learning management systems, drug information solutions, and/or additional clinical decision support and workflow solutions. education advanced training in informatics, computer science, or engineering; masters degree or equivalent experience in informatics preferred. physician training and experience preferred (md/do) upon acceptance of this role, the selected internal candidate will be required to sign a restrictive covenants agreement which includes non-solicitation, non-disclosure and for certain roles a non-competition agreement as a condition of placement into the role. elsevier is a global information analytics business that helps institutions and professionals progress science, advance healthcare and improve performance for the benefit of humanity. we help researchers make new discoveries, collaborate with their colleagues, and give them the knowledge they need to find funding. we help governments and universities evaluate and improve their research strategies. we help doctors save lives, providing insight for physicians to find the right clinical answers, and we support nurses and other healthcare professionals throughout their careers. elsevier provides digital solutions and tools in the areas of strategic research management, rd performance, clinical decision support, and professional education; including sciencedirect , scopus , scival , clinicalkey and sherpath . elsevier publishes over 2,500 digitized journals, including the lancet and cell , more than 35,000 e-book titles and many iconic reference works, including grays anatomy. elsevier is part of relx group, a global provider of information and analytics for professionals and business customers across industries. elsevier employs over 7,000 people in more than 70 offices worldwide. we are an employer of choice, attracting and developing talented and creative people who thrive in a challenging and fast-paced environment. we offer an excellent compensation and benefits package as well as a real opportunity for career growth in a growing organization. elsevier is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. if a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodationsrelx.com .","decision support, clinical pathways, healthcare information technology, electronic health records, quality measurement, analytics, medical terminologies (e.g., snomed-ct, icd-9/icd-10), taxonomies (e.g., loinc, rxnorm), clinical content authoring, data retrieval, order sets, care plans, precision medicine, learning management systems, drug information solutions, clinical decision support solutions, healthcare standards (e.g., hl-7 fhir)","leadership, customer engagement, collaboration, communication, problem-solving, accountability"
3842,Artificial Intelligence,"Manager, Platforms Risk","your responsibilities : the manager, platforms risk is accountable for enabling the gsk tech platforms organization to deliver in an efficient and compliant manner. you will identify the risks and deliver solutions in coordination with multiple risk functions, acting as a facilitator for divergent inputs from different stakeholders as needed. you will challenge the status quo as you identify innovative approaches to compliance, including automation using emerging technologies. you will be an agile, collaborative, responsive partner to gsk tech and practice good judgment and pragmatism to enable delivery at speed. key responsibilities partner with the tech platforms team to proactively identify and address emerging areas that require enabling compliance establish risk and control frameworks to enable use of emerging technologies and to address emerging risks design and deliver solutions that leverage emerging technologies to automate and drive efficiency and cost savings in compliance related activities constructively challenge the status quo to deliver innovative solutions. assist leadership to make risk informed decisions provide input into tech policies, procedures and standards provide co-ordination and leadership in bringing subject matter experts from individual risk functions to drive alignment on compliance approaches focus on strategy (both within tech and within the broader gsk business) and industry trends in what is a very fast moving area of the tech industry. support delivery of compliance frameworks to enable use of agile methodologies why you bachelors degree in technology, digital, data sciences or other relevant discipline with a technology focus minimum 10 years of experience working in the technology field passionate about technology self driven continuous learner demonstrable experience with the technology that makes up an end-to-end cloud platform and the services required to configure, deliver, support and manage that platform maintain current knowledge of technology risk management controls that includes an understanding of the different types of sensitive data, the associated risk profile of handling each type of data, and the appropriate risk mitigation strategies to be employed ability to evaluate risks associated with third party engagements direct experience with agile software development processes proven management experience of cross functional/matrix teams located globally excellent relationship management, strong influencing and communication skills with all levels of the organization possess high learning agility, pragmatism and good judgment ability to handle fast paced, multi-task environment preferred qualifications: masters degree in technology, digital, data sciences or other relevant discipline experience working in technology within the fast moving consumer goods/pharmaceutical industry with experience in risk management compliance demonstrable experience in managing emerging technology risks and/or use of emerging technology (e.g., artificial intelligence, blockchain, robotics) to execute compliance activities experience in interpreting policies, procedures and processes for ensuring compliance why gsk : at gsk, our mission is to improve the quality of human life by enabling people to do more, feel better and live longer. our three world-leading businesses research and deliver innovative medicines, vaccines and consumer healthcare products. we need a talented and motivated workforce to deliver against our strategy. to achieve this, we strive to attract the best people and to create an environment that empowers and inspires. contact information: you may apply for this position online by selecting the apply now button. if you require an accommodation or other assistance to apply for a job at gsk, please contact the gsk hr service centre at 1-877-694-7547 (us toll free) or +1 801 567 5155 (outside us). gsk is an equal opportunity/affirmative action employer. all qualified applicants will receive equal consideration for employment without regard to race, color, national origin, religion, sex, pregnancy, marital status, sexual orientation, gender identity/expression, age, disability, genetic information, military service, covered/protected veteran status or any other federal, state or local protected class. important notice to employment businesses/ agencies gsk does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. all employment businesses/agencies are required to contact gsks commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to gsk. the obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and gsk. in the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of gsk. gsk shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site. please note that if you are a us licensed healthcare professional or healthcare professional as defined by the laws of the state issuing your license, gsk may be required to capture and report expenses gsk incurs, on your behalf, in the event you are afforded an interview for employment. this capture of applicable transfers of value is necessary to ensure gsks compliance to all federal and state us transparency requirements. for more information, please visit gsks transparency reporting for the record site.","risk management, compliance, emerging technologies, automation, agile methodologies, technology risk management, cloud platforms, third-party engagement, software development processes, policies and procedures interpretation","leadership, communication, relationship management, influencing, team management, learning agility, pragmatism, good judgment"
3863,Artificial Intelligence,"Regulatory Writer, All Locations","position: regulatory writer location: all locations company overview: synchrogenix, a certara company, is a global, multimillion-dollar regulatory and scientific writing company headquartered in wilmington, de, with us offices in atlanta, ga; thousand oaks, ca; cincinnati, oh; philadelphia, pa; raleigh, nc; malvern, pa; parsippany, nj; san diego, ca; nashville, tn; orlando, fl; gaithersburg, md; and cambridge, ma. synchrogenix has two wholly owned subsidiaries: synchrogenix europe limited, headquartered in daresbury, uk, with an additional office in london; and synchrogenix philippines inc. (spi), headquartered in manila. founded in 1986, synchrogenix takes a unique team approach to projects drawing from the varied skills and backgrounds of its writers and editors. this approach enables synchrogenix to bridge all functional areas within drug development, with the singular focus on regulatory/medical documentation. regulatory writing is truly an expertise, and synchrogenixs 180+ permanent writers and editors are among the best in the world. synchrogenix now offers additional technologies and services that expedite the regulatory process. these include: the only artificial intelligence assisted medical writing service in the pharmaceutical industry. this transformative technology helps clients to better meet global transparency and disclosure requirements. submission management - our suite of products consists of the solutions regulatory operations professionals need to efficiently manage and publish, validate and review ectd submissions. regulatory services - submission and publishing services for marketing and pre-marketing applications as well as subsequent lifecycle submissions to support original applications. document management - an intuitive, affordable document management system that reduces complexity form a user perspective while meeting the same robust standards for security and regulatory compliance this combined knowledge makes synchrogenix the consultancy of choice for life science and biotechnology companies worldwide. synchrogenix was named one of the inc 500/5000 fastest growing us companies in 2012, 2013, 2014, 2016 and 2017 and has been named a best place to work multiple times. corporate culture: synchrogenix was founded on the principles of ethical business practices and high-quality work. it is a learning-oriented organization with a strong commitment to the idea that every individualregardless of experience levelhas something to teach and something to learn. synchrogenix has built its culture on: being fast and flexible, non-hierarchical, apolitical, and non-defensive active participationnobody sits on the sidelines teamworkthe companys success is important to all of us cross-functional communication (lots of it) and a high-tech culture that works to have everyone on the same page disciplined leadership that inspires passion and commitment personal accountability strong peer and management support for those who want to learn responsibilities you will be trained to: participate on project teams that may be led by a principal regulatory writer, associate principal regulatory writer, or senior regulatory writer author documents per client specifications, templates, style guides, and other guidance documents provide clinical review for patient narratives and other documents act as a client point of contact manage a budget for a project or a task within a project usher documents through the review process, conduct comment resolution meetings (crms) maintain collaborative, proactive, and effective communication with both client and internal teams participate in project-related meetings and teleconferences requirements bachelors degree in english, journalism, scientific discipline or related field els certification desired, but not required 1-3 years of prior related experience; highly skilled, talented, and motivated candidates will be considered strong computer skills, including proficiency with microsoft outlook, word, excel, and powerpoint background in pharmaceuticals and/or science and technical industries is preferred demonstrates solid time management skills. shows flexibility to meet project needs as required by deadlines and meeting corporate goals and objectives. maintains high ethical and quality standards as defined in the employee manual ability to analyze clinical data and present it in a written format strong interest in writing/editing the ideal candidate is reliable, professional and discrete, and personable with business acumen is a team player who is flexible with an extremely high level of attention to detail and enjoys collaboration is deadline conscious with strong leadership and management of process is self-motivated and solution-driven can manage changing and competing priorities in a fast-paced environment desires challenges, both technical and interpersonal opportunity and value for the right candidate make an immediate contribution be a critical driver to overall company success variety submission-level work across therapeutic areas flexibility custom schedules and benefits of flex time stability almost 32 years in business support a community of writers working as a team grow - excellent potential for growth and advancement learn - gain valuable knowledge and expertise for development and advancement (training provided); the ever-evolving pharmaceutical and biotech industries, and a niche segment, that is growing exponentially. competitive compensation and benefits package synchrogenix is proud to be an equal opportunity employer and will consider all qualified applicants for employment without discrimination on grounds of disability, sex or sexual orientation, pregnancy or maternity leave status, race or national or ethnic origin, age, religion or belief, gender identity or re-assignment, marital or civil partnership status, protected veteran status, or any other characteristic protected by law. synchrogenix makes reasonable accommodations for disabled employees and applicants. synchrogenix only employs individuals with the right to work in the country/ies where the role is advertised. we are committed to fostering, cultivating, and preserving a culture of diversity and inclusion. the collective sum of the individual differences, life experiences, knowledge, inventiveness, innovation, self- expression, unique capabilities and talent that our employees invest in their work represents a significant part of not only our culture, but our reputation and achievement.","microsoft outlook, microsoft word, microsoft excel, microsoft powerpoint, analyzing clinical data","strong time management, attention to detail, leadership, collaboration, flexibility, problem-solving, strong communication, ethical standards"
